= Coverage for C:\Users\OleJohanBondahl\Documents\GitHub_ZEN\Schematika\src\schematika\ =
------------------------------ Detailed Coverage ------------------------------
| Name                                                          |      Status |
|---------------------------------------------------------------|-------------|
| electrical\terminal.py (module)                               |     COVERED |
| Terminal (L15)                                                |     COVERED |
| Terminal.__new__ (L45)                                        |      MISSED |
| Terminal.__setattr__ (L64)                                    |      MISSED |
| Terminal.__hash__ (L67)                                       |      MISSED |
| Terminal.__eq__ (L70)                                         |      MISSED |
|---------------------------------------------------------------|-------------|
| electrical\wire.py (module)                                   |     COVERED |
| _Wire (L10)                                                   |     COVERED |
| _Wire.__call__ (L15)                                          |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\layout\__init__.py (module)                        |      MISSED |
|---------------------------------------------------------------|-------------|
| electrical\layout\layout.py (module)                          |     COVERED |
| get_connection_ports (L21)                                    |     COVERED |
| draw_wire (L49)                                               |     COVERED |
| _find_matching_ports (L76)                                    |     COVERED |
| _get_wire_label_spec (L93)                                    |     COVERED |
| draw_wire_labeled (L112)                                      |     COVERED |
| layout_vertical_chain (L164)                                  |     COVERED |
| layout_horizontal (L205)                                      |     COVERED |
| create_horizontal_layout (L242)                               |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\layout\wire_labels.py (module)                     |     COVERED |
| calculate_wire_label_position (L21)                           |     COVERED |
| create_wire_label_text (L44)                                  |     COVERED |
| format_wire_specification (L73)                               |     COVERED |
| create_labeled_wire (L95)                                     |     COVERED |
| create_labeled_connections (L135)                             |     COVERED |
| find_vertical_wires (L170)                                    |     COVERED |
| add_wire_labels_to_circuit (L194)                             |     COVERED |
| apply_wire_labels (L264)                                      |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\model\__init__.py (module)                         |      MISSED |
|---------------------------------------------------------------|-------------|
| electrical\model\constants.py (module)                        |     COVERED |
| StandardTags (L56)                                            |     COVERED |
| PinPrefix (L94)                                               |     COVERED |
| StandardCircuitKeys (L102)                                    |     COVERED |
| WireLabels (L149)                                             |      MISSED |
|---------------------------------------------------------------|-------------|
| electrical\model\core.py (module)                             |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\model\parts.py (module)                            |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\model\primitives.py (module)                       |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\model\state.py (module)                            |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\symbols\__init__.py (module)                       |      MISSED |
|---------------------------------------------------------------|-------------|
| electrical\symbols\actuators.py (module)                      |      MISSED |
| estop_button (L10)                                            |     COVERED |
| turn_actuator (L50)                                           |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\symbols\assemblies.py (module)                     |      MISSED |
| contactor (L20)                                               |     COVERED |
| estop (L74)                                                   |     COVERED |
| turn_switch (L106)                                            |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\symbols\blocks.py (module)                         |      MISSED |
| terminal_box (L16)                                            |     COVERED |
